06100026 00000126 ['399', '118', '728', '392']
06100026 00000027 ['359', '614', '421', '674']
06100026 00000011 ['431', '889', '512', '1003']
06100026 00000107 ['360', '75', '486', '216']
06100026 00000179 ['283', '171', '331', '281']
06100026 00000160 ['36', '475', '144', '601']
06100026 00000137 ['80', '501', '149', '674']
06100026 00000166 ['106', '803', '235', '941']
06100026 00000022 ['737', '190', '797', '235']
06100026 00000016 ['732', '984', '821', '1085']
06100026 00000032 ['636', '428', '740', '544']
06100026 00000032 ['639', '566', '774', '751']
06100026 00000114 ['456', '713', '510', '821']
06100026 00000060 ['250', '474', '297', '594']
06100026 00000007 ['354', '370', '412', '436']
06100026 00000115 ['326', '732', '396', '822']
06100026 00000029 ['280', '869', '339', '920']
06100026 00000114 ['289', '268', '371', '359']
06100026 00000022 ['566', '150', '618', '201']
06100026 00000174 ['592', '106', '648', '184']
06100026 00000112 ['414', '306', '502', '407']
06100026 00000154 ['35', '472', '113', '535']
06100026 00000179 ['256', '429', '345', '528']
06100026 00000153 ['723', '373', '879', '604']
06100026 00000109 ['605', '666', '724', '877']
06100026 00000044 ['265', '149', '321', '257']
06100026 00000137 ['86', '674', '150', '800']
06100026 00000057 ['506', '550', '531', '632']
06100026 00000021 ['419', '306', '454', '351']
06100026 00000021 ['164', '100', '204', '139']
06100026 00000011 ['695', '272', '762', '336']
06100026 00000166 ['153', '984', '214', '1062']
06100026 00000070 ['222', '226', '241', '296']
06100026 00000127 ['440', '887', '773', '1156']
06100026 00000111 ['628', '585', '707', '708']
06100026 00000028 ['288', '828', '341', '882']
06100026 00000109 ['621', '83', '710', '238']
06100026 00000056 ['333', '266', '388', '338']
06100026 00000034 ['607', '317', '682', '388']
06100026 00000021 ['509', '248', '545', '309']
06100026 00000022 ['668', '507', '713', '550']
06100026 00000121 ['627', '619', '703', '739']
06100026 00000160 ['75', '804', '133', '943']
06100026 00000057 ['464', '860', '537', '948']
06100026 00000121 ['293', '780', '319', '874']
06100026 00000021 ['156', '272', '189', '326']
06100026 00000166 ['138', '1084', '229', '1184']
06100026 00000173 ['836', '145', '882', '237']
06100026 00000021 ['79', '328', '114', '367']
06100026 00000108 ['349', '713', '445', '904']
06100026 00000021 ['568', '720', '613', '764']
06100026 00000022 ['746', '366', '791', '407']
06100026 00000027 ['353', '864', '413', '928']
06100026 00000163 ['210', '296', '247', '368']
06100026 00000127 ['144', '146', '408', '410']
06100026 00000184 ['327', '276', '399', '371']
06100026 00000057 ['309', '831', '414', '1005']
06100026 00000179 ['364', '655', '451', '756']
06100026 00000102 ['452', '873', '522', '1087']
06100026 00000021 ['419', '256', '459', '296']
06100026 00000099 ['368', '1038', '433', '1069']
06100026 00000157 ['227', '68', '342', '175']
06100026 00000050 ['612', '628', '698', '727']
06100026 00000111 ['117', '649', '181', '748']
06100026 00000060 ['262', '594', '306', '701']
06100026 00000017 ['298', '65', '369', '186']
06100026 00000179 ['242', '902', '320', '1012']
06100026 00000021 ['752', '333', '792', '391']
06100026 00000050 ['4', '857', '72', '1019']
06100026 00000057 ['716', '679', '816', '779']
06100026 00000021 ['330', '335', '372', '370']
06100026 00000179 ['252', '96', '351', '171']
06100026 00000061 ['235', '589', '280', '755']
06100026 00000165 ['865', '66', '883', '80']
06100026 00000145 ['132', '352', '179', '398']
06100026 00000035 ['823', '841', '890', '891']
06100026 00000154 ['532', '583', '614', '702']
06100026 00000121 ['516', '111', '587', '167']
06100026 00000016 ['376', '273', '434', '396']
06100026 00000174 ['344', '228', '407', '303']
06100026 00000028 ['620', '523', '666', '595']
06100026 00000056 ['472', '530', '593', '644']
06100026 00000045 ['173', '772', '231', '890']
06100026 00000035 ['721', '159', '804', '249']
06100026 00000125 ['129', '440', '427', '684']
06100026 00000163 ['825', '71', '883', '130']
06100026 00000057 ['497', '193', '533', '237']
06100026 00000011 ['696', '339', '762', '426']
06100026 00000022 ['666', '458', '711', '503']
06100026 00000179 ['264', '546', '335', '681']
06100026 00000024 ['257', '391', '273', '426']
06100026 00000111 ['649', '142', '693', '180']
06100026 00000006 ['348', '1025', '412', '1141']
06100026 00000173 ['116', '1228', '187', '1245']
06100026 00000034 ['415', '59', '492', '140']
06100026 00000027 ['275', '148', '309', '194']
06100026 00000034 ['494', '652', '581', '749']
06100026 00000028 ['648', '598', '661', '625']
06100026 00000037 ['175', '835', '242', '988']
06100026 00000047 ['92', '756', '196', '978']
06100026 00000179 ['382', '341', '448', '431']
06100026 00000122 ['228', '608', '306', '761']
06100026 00000021 ['331', '374', '372', '416']
06100026 00000153 ['523', '152', '702', '346']
06100026 00000057 ['185', '600', '268', '693']
06100026 00000016 ['121', '606', '203', '690']
06100026 00000184 ['235', '389', '284', '435']
06100026 00000021 ['186', '141', '195', '155']
06100026 00000173 ['214', '1230', '249', '1244']
06100026 00000184 ['111', '476', '177', '558']
06100026 00000157 ['578', '357', '690', '460']
06100026 00000021 ['410', '357', '455', '404']
06100026 00000017 ['209', '519', '276', '597']
06100026 00000032 ['628', '98', '760', '253']
06100026 00000179 ['382', '184', '461', '248']
06100026 00000173 ['834', '522', '882', '598']
06100026 00000155 ['826', '464', '845', '494']
06100026 00000056 ['0', '347', '92', '511']
06100026 00000022 ['679', '613', '719', '657']
06100026 00000185 ['162', '98', '358', '312']
06100026 00000114 ['185', '86', '237', '143']
06100026 00000017 ['388', '972', '471', '1064']
06100026 00000029 ['516', '143', '572', '220']
06100026 00000154 ['366', '470', '443', '586']
06100026 00000184 ['112', '563', '174', '636']
06100026 00000021 ['74', '377', '116', '424']
06100026 00000144 ['270', '1096', '319', '1157']
06100026 00000033 ['228', '867', '328', '943']
06100026 00000016 ['738', '619', '808', '722']
06100026 00000111 ['362', '693', '431', '817']
06100026 00000121 ['493', '168', '600', '354']
06100026 00000046 ['355', '744', '432', '894']
06100026 00000122 ['120', '97', '181', '242']
06100026 00000098 ['395', '573', '471', '654']
06100026 00000021 ['144', '736', '193', '783']
06100026 00000028 ['731', '677', '795', '754']
06100026 00000017 ['389', '1061', '481', '1131']
06100026 00000065 ['309', '261', '395', '357']
06100026 00000037 ['146', '422', '239', '589']
06100026 00000173 ['302', '371', '362', '453']
06100026 00000179 ['369', '557', '443', '648']
06100026 00000017 ['311', '505', '391', '605']
06100026 00000125 ['424', '111', '756', '336']
06100026 00000057 ['433', '242', '533', '381']
06100026 00000184 ['233', '539', '284', '619']
06100026 00000053 ['750', '670', '866', '836']
06100026 00000029 ['396', '746', '449', '824']
06100026 00000173 ['205', '476', '267', '551']
06100026 00000047 ['108', '575', '173', '728']
06100026 00000035 ['322', '466', '379', '568']
06100026 00000173 ['573', '247', '652', '341']
06100026 00000050 ['610', '480', '692', '619']
06100026 00000027 ['339', '1065', '404', '1117']
06100026 00000017 ['607', '415', '693', '490']
06100026 00000179 ['381', '262', '452', '341']
06100026 00000056 ['491', '278', '555', '369']
06100026 00000173 ['833', '250', '882', '323']
06100026 00000173 ['297', '1229', '374', '1245']
06100026 00000111 ['638', '72', '705', '139']
06100026 00000169 ['549', '440', '574', '507']
06100026 00000114 ['153', '368', '242', '465']
06100026 00000179 ['359', '762', '431', '857']
06100026 00000028 ['262', '314', '334', '377']
06100026 00000149 ['145', '846', '306', '1026']
06100026 00000174 ['153', '653', '211', '715']
06100026 00000154 ['39', '180', '137', '258']
06100026 00000035 ['143', '825', '208', '889']
06100026 00000111 ['119', '72', '188', '176']
06100026 00000031 ['392', '324', '487', '494']
06100026 00000024 ['41', '304', '92', '360']
06100026 00000057 ['293', '87', '380', '249']
06100026 00000056 ['0', '208', '80', '317']
06100026 00000057 ['470', '761', '510', '860']
06100026 00000032 ['632', '265', '752', '410']
06100026 00000154 ['203', '74', '285', '155']
06100026 00000034 ['285', '794', '326', '873']
06100026 00000174 ['166', '251', '230', '328']
06100026 00000111 ['116', '271', '192', '388']
06100026 00000098 ['396', '353', '470', '439']
06100026 00000057 ['325', '316', '385', '426']
06100026 00000017 ['604', '671', '676', '755']
06100026 00000021 ['69', '681', '107', '731']
06100026 00000122 ['94', '772', '173', '870']
06100026 00000157 ['65', '68', '163', '222']
06100026 00000153 ['559', '838', '646', '978']
06100026 00000027 ['553', '1023', '598', '1073']
06100026 00000057 ['585', '850', '635', '922']
06100026 00000122 ['247', '100', '332', '182']
06100026 00000153 ['401', '469', '491', '604']
06100026 00000109 ['399', '81', '543', '192']
06100026 00000107 ['530', '287', '641', '475']
06100026 00000144 ['413', '541', '507', '651']
06100026 00000109 ['599', '908', '721', '1053']
06100026 00000053 ['758', '806', '888', '927']
06100026 00000111 ['356', '392', '450', '483']
06100026 00000126 ['395', '695', '726', '894']
06100026 00000171 ['536', '322', '603', '402']
06100026 00000033 ['792', '717', '842', '767']
06100026 00000179 ['252', '282', '340', '418']
06100026 00000033 ['780', '586', '832', '667']
06100026 00000184 ['357', '498', '373', '527']
06100026 00000102 ['451', '745', '528', '873']
06100026 00000027 ['448', '988', '505', '1054']
06100026 00000033 ['358', '186', '438', '275']
06100026 00000056 ['19', '753', '78', '828']
06100026 00000184 ['116', '402', '172', '476']
06100026 00000050 ['1', '1028', '79', '1090']
06100026 00000173 ['383', '430', '439', '499']
06100026 00000126 ['74', '144', '398', '343']
06100026 00000173 ['847', '612', '882', '666']
06100026 00000056 ['484', '73', '549', '178']
06100026 00000121 ['86', '642', '205', '793']
06100026 00000035 ['144', '63', '243', '189']
06100026 00000145 ['132', '319', '182', '337']
06100026 00000180 ['352', '378', '509', '581']
06100026 00000155 ['131', '57', '216', '167']
06100026 00000022 ['561', '98', '611', '148']
06100026 00000174 ['489', '91', '566', '140']
06100026 00000059 ['159', '858', '199', '955']
06100026 00000034 ['591', '187', '693', '294']
06100026 00000046 ['360', '611', '418', '734']
06100026 00000016 ['251', '52', '354', '131']
06100026 00000145 ['125', '257', '177', '313']
06100026 00000173 ['585', '354', '644', '462']
06100026 00000184 ['645', '242', '701', '341']
06100026 00000179 ['262', '794', '306', '885']
06100026 00000065 ['412', '119', '522', '259']
06100026 00000173 ['833', '670', '882', '714']
06100026 00000114 ['35', '278', '133', '412']
06100026 00000179 ['371', '431', '452', '527']
06100026 00000179 ['252', '1013', '310', '1101']
06100026 00000045 ['242', '823', '284', '881']
06100026 00000166 ['117', '657', '225', '763']
06100026 00000057 ['573', '922', '685', '1008']
06100026 00000174 ['441', '173', '463', '205']
06100026 00000050 ['641', '1229', '709', '1245']
06100026 00000047 ['331', '801', '369', '927']
06100038 00000009 ['0', '494', '202', '730']
06100038 00000025 ['623', '677', '820', '866']
06100038 00000006 ['224', '258', '420', '435']
06100038 00000023 ['638', '554', '841', '747']
06100038 00000015 ['397', '1125', '614', '1321']
06100038 00000021 ['621', '1348', '828', '1529']
06100038 00000036 ['212', '1370', '431', '1547']
06100038 00000044 ['422', '465', '634', '748']
06100038 00000029 ['621', '475', '821', '670']
06100038 00000042 ['427', '924', '634', '1152']
06100038 00000023 ['641', '311', '841', '516']
06100038 00000030 ['22', '956', '233', '1131']
06100038 00000005 ['406', '495', '628', '840']
06100038 00000017 ['432', '711', '642', '914']
06100038 00000032 ['28', '334', '238', '539']
06100038 00000021 ['430', '72', '634', '232']
06100038 00000011 ['208', '541', '417', '744']
06100038 00000032 ['24', '737', '242', '900']
06100038 00000019 ['419', '298', '643', '500']
06100038 00000019 ['419', '503', '638', '707']
06100038 00000017 ['434', '914', '638', '1148']
06100038 00000046 ['638', '1378', '821', '1533']
